size,m,n,rs_a,cs_a,rs_c,cs_c,flop,throughput,bytes,GB_per_s,nanoseconds
1248,1248,1248,1248,1,1248,1,1.558e+06,1.137e+00,1.246e+07,9.094e+00,1.370e+06
1264,1264,1264,1264,1,1264,1,1.598e+06,1.169e+00,1.278e+07,9.354e+00,1.366e+06
1280,1280,1280,1280,1,1280,1,1.638e+06,3.324e-01,1.311e+07,2.659e+00,4.929e+06
1296,1296,1296,1296,1,1296,1,1.680e+06,1.167e+00,1.344e+07,9.336e+00,1.439e+06
1312,1312,1312,1312,1,1312,1,1.721e+06,1.148e+00,1.377e+07,9.181e+00,1.500e+06
1328,1328,1328,1328,1,1328,1,1.764e+06,1.178e+00,1.411e+07,9.422e+00,1.497e+06
1344,1344,1344,1344,1,1344,1,1.806e+06,1.095e+00,1.445e+07,8.764e+00,1.649e+06
1360,1360,1360,1360,1,1360,1,1.850e+06,1.164e+00,1.480e+07,9.309e+00,1.590e+06
1376,1376,1376,1376,1,1376,1,1.893e+06,1.146e+00,1.515e+07,9.169e+00,1.652e+06
1392,1392,1392,1392,1,1392,1,1.938e+06,1.165e+00,1.550e+07,9.321e+00,1.663e+06
1408,1408,1408,1408,1,1408,1,1.982e+06,3.504e-01,1.586e+07,2.803e+00,5.658e+06
1424,1424,1424,1424,1,1424,1,2.028e+06,1.110e+00,1.622e+07,8.876e+00,1.828e+06
1440,1440,1440,1440,1,1440,1,2.074e+06,8.491e-01,1.659e+07,6.793e+00,2.442e+06
1456,1456,1456,1456,1,1456,1,2.120e+06,7.744e-01,1.696e+07,6.195e+00,2.737e+06
1472,1472,1472,1472,1,1472,1,2.167e+06,9.509e-01,1.733e+07,7.607e+00,2.279e+06
1488,1488,1488,1488,1,1488,1,2.214e+06,1.095e+00,1.771e+07,8.758e+00,2.022e+06
1504,1504,1504,1504,1,1504,1,2.262e+06,9.109e-01,1.810e+07,7.287e+00,2.483e+06
1520,1520,1520,1520,1,1520,1,2.310e+06,1.140e+00,1.848e+07,9.119e+00,2.027e+06
